transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_207,Minister of Women and Child Affairs,minister,Department of Probation and Childcare Services,minister,minister,2024-11-25,
2412/08_tr_208,Minister of Women and Child Affairs,minister,National Child Protection Authority,minister,minister,2024-11-25,
2412/08_tr_209,Minister of Women and Child Affairs,minister,National Secretariat for Early Childhood Development,minister,minister,2024-11-25,
2412/08_tr_210,Minister of Women and Child Affairs,minister,Protection of Children National Trust Fund,minister,minister,2024-11-25,
2412/08_tr_211,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Department of Commerce,minister,minister,2024-11-25,
2412/08_tr_212,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Lanka Sathosa Ltd.,minister,minister,2024-11-25,
2412/08_tr_213,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Co-operative Wholesale Establishment,minister,minister,2024-11-25,
2412/08_tr_214,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Mahapola Trust Fund,minister,minister,2024-11-25,
2412/08_tr_215,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Sri Lanka Accreditation Board for Conformity Assessment,minister,minister,2024-11-25,
2412/08_tr_216,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,"Department of Measurement Units, Standards and Services",minister,minister,2024-11-25,
2412/08_tr_217,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Regional Economic Centers,minister,minister,2024-11-25,
2412/08_tr_218,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,National Intellectual Property Office of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_219,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Consumer Affairs Authority,minister,minister,2024-11-25,
2412/08_tr_220,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Department of Co-operative Development (Registrar of Co-operative Societies),minister,minister,2024-11-25,
2412/08_tr_221,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Co-operative Employees Commission,minister,minister,2024-11-25,
2412/08_tr_222,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,National Institute of Co-operative Development,minister,minister,2024-11-25,
2412/08_tr_223,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Sri Lanka State Trading Corporation,minister,minister,2024-11-25,
2412/08_tr_224,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Food Commissioner’s Department,minister,minister,2024-11-25,
2412/08_tr_225,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,State Trading Co-operative Wholesale Co. Ltd,minister,minister,2024-11-25,
2412/08_tr_226,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Department of the Registrar of Companies,minister,minister,2024-11-25,
2412/08_tr_227,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,Lanka General Trading Company Ltd,minister,minister,2024-11-25,
2412/08_tr_228,Minister of Health and Mass Media,minister,National Health Council,minister,minister,2024-11-25,
2412/08_tr_229,Minister of Health and Mass Media,minister,Medical Research Institute,minister,minister,2024-11-25,
